land_id,location,latitude,longitude,area_sqft,zone_type,road_proximity_km,metro_proximity_km,infrastructure_score,year_established,soil_type,flood_risk,ownership_changes,litigation_count,survey_conflicts,area_mismatch,document_inconsistency_count,price_volatility,market_price,actual_value,location_score,dispute_risk,ownership_change_count,survey_conflict,price_change_pct,days_between_transfers,ownership_count_90days,price_vs_market_ratio,is_fraud,historical_prices,price_vs_area_median_ratio
1,Yelahanka,13.085466,77.621118,2136.13,residential,2.258,7.639,82.36,2005,sandy loam,False,1,0,0,0,1,0.1343,17513757.17,16670978.73,83.04,low,1,0,0.3512,820.7,0,0.891,False,"[10851280.02, 12866451.42, 13910427.14, 14803409.47, 15892011.19]",
2,Mysore Road,12.956198,77.465945,1169.41,residential,1.072,3.933,87.08,2010,alluvial,False,1,0,0,0,1,0.3029,7065998.75,7524560.1,89.43,low,1,0,0.2272,197.5,0,0.7521,False,"[4686372.86, 4861232.42, 5624484.29, 6195969.44, 6649089.68]",
3,Nagarbhavi,12.962411,77.551314,20110.74,agricultural,0.989,10.221,60.6,1980,sandy loam,False,2,1,0,0,1,0.3409,40775738.54,44777710.03,71.23,medium,2,0,0.1125,286.4,0,0.8267,False,"[26185576.0, 28339648.4, 32691556.31, 36046179.46, 37454364.33]",
4,Banashankari,12.971067,77.549127,1377.31,commercial,3.534,0.5,75.53,1996,black cotton,False,2,0,1,0,0,0.206,30423299.03,31437597.0,84.19,medium,2,1,0.1114,1227.3,1,1.1319,False,"[20083580.77, 22867073.45, 24240583.17, 25922549.1, 28926992.07]",
5,HSR Layout,12.922534,77.605206,16635.47,agricultural,1.513,5.822,77.89,1995,black cotton,False,1,1,1,0,0,0.1654,54903218.42,61858348.51,82.93,medium,1,1,0.1946,306.7,0,0.9642,False,"[34877202.55, 38104818.87, 44265523.51, 46770775.53, 50712432.68]",
6,HSR Layout,12.909348,77.597606,1420.75,commercial,0.596,4.443,89.12,2016,red laterite,False,1,0,0,0,0,0.3017,32991363.24,39389001.96,90.47,low,1,0,-0.1078,2125.2,0,1.1256,False,"[21030713.58, 23441803.72, 26988936.67, 29469534.4, 31866343.65]",
7,Koramangala,12.905006,77.655295,3239.02,commercial,0.564,0.5,77.64,1989,rocky,True,0,0,0,0,1,0.2452,88228706.63,93878420.78,87.91,low,0,0,-0.1184,61.3,0,0.9603,False,"[59272257.96, 64347438.98, 67173304.13, 75545786.47, 85858450.35]",
8,Hoskote,13.073123,77.820118,39327.43,agricultural,4.901,3.141,77.4,2017,sandy loam,False,4,1,0,0,0,0.0221,51467365.65,52684502.9,81.78,high,4,0,0.4164,792.9,0,1.1992,False,"[33005381.77, 38615083.81, 40715869.83, 41505195.79, 48523932.14]",
9,BTM Layout,12.933065,77.65462,671.34,residential,2.831,2.895,88.48,2023,red laterite,False,1,0,0,0,1,0.0635,8937698.24,9906444.59,89.38,low,1,0,0.5261,275.0,0,0.957,False,"[6035851.9, 6426384.51, 7281194.36, 7388289.7, 8064384.26]",
10,Domlur,12.959289,77.638918,743.77,residential,1.974,4.705,86.37,2010,rocky,False,0,1,0,0,0,0.2198,11705934.83,12864176.45,87.64,low,0,0,-0.1722,9.2,0,0.6481,False,"[7656820.21, 8539974.56, 9565289.0, 10216688.12, 10607068.51]",
11,Whitefield,12.959687,77.748869,630.47,residential,1.281,0.5,43.04,1989,sandy loam,False,1,0,0,0,0,0.1272,6074022.34,5246022.75,69.97,low,1,0,-0.1072,1433.4,1,1.0406,False,"[3973995.4, 4446272.72, 4570794.86, 5218358.6, 5608074.05]",
12,Old Madras Road,12.998548,77.642346,957.59,industrial,1.409,6.545,79.46,2013,alluvial,False,1,1,0,0,0,0.2145,10155800.37,10560087.67,83.23,medium,1,0,0.3456,1341.5,0,0.6096,False,"[6468291.6, 7413485.87, 7789563.57, 8818663.22, 9558535.95]",
